Comment;Negative;Neutral;Positive;Compound
The Best President Ever!  TRUMP!  MAGA!;0.0;0.496;0.504;0.7249
The great leader!;0.0;0.313;0.687;0.6588
The democrats cheating for Nikki isn't going to do it.;0.286;0.714;0.0;-0.5574
Nikki should stand behind trump.HENCE DO WHAT IS RIGHT;0.0;1.0;0.0;0.0
I Vote Trump;0.0;1.0;0.0;0.0
So sad!!! Trump is a conman who is totally unfit to be President. How can he have fooled so many people?;0.266;0.734;0.0;-0.7826
Thank you God;0.0;0.179;0.821;0.5574
Trump 2024;0.0;1.0;0.0;0.0
She did sound like she gave a victory speech and SHE LOST. NIKKI HALEY NEEDS TO WITHDRAW FROM THE RACE AND ENDORSE TRUMP.SHE NEEDS TO DO THE RIGHT THING AND GIVE UP;0.081;0.772;0.147;0.3612
Look at difference between chants for niki they shout her name for trump they shout there country;0.0;1.0;0.0;0.0
Trump is us president;0.0;1.0;0.0;0.0
Get ready to loose against trump;0.261;0.455;0.284;0.0516
Hayley almost got 50% Trump should be worried.;0.239;0.761;0.0;-0.296
"""who the hell was the imposter who ran up on stage and pretended to have won the primary""  - Trump.
- best line of the speech-";0.13;0.648;0.223;0.5106
Thanks for ALL U DO TRUMP FOR USA;0.0;0.707;0.293;0.4404
🐐;0.0;1.0;0.0;0.0
Democrots😂... Trumo and his cognitive skills;0.129;0.612;0.259;0.4404
100 MILLION AMERICANS FOR TRUMP 2024 🇺🇸;0.0;1.0;0.0;0.0
"Quite the nasty guy; but you love that!";0.168;0.413;0.419;0.6861
TRUMP/TULSI 2024;0.0;1.0;0.0;0.0
TRUMP/TULSI 2024;0.0;1.0;0.0;0.0
TRUMP/TULSI 2024;0.0;1.0;0.0;0.0
❤❤❤❤❤;0.0;0.192;0.808;0.9719
Nikki was bad mouthing Trump during the Presidential debate and now she has some nerve to seek Vice Presidentship.  The only person on that stage for Presidential debate who supported President Trump was Vivek Ramaswamy.;0.09;0.851;0.059;-0.296
🇺🇸TRUMP/Tulsi2024🇺🇸🇺🇸;0.0;1.0;0.0;0.0
"Trump is forever. 
Let’s get in this together , y’all. 
Loud and strong. 
Trump ultra maga";0.0;0.82;0.18;0.5106
WooooooooHoooooo. Trump Train. Wooooohoooooooo. All Aboard;0.0;0.82;0.18;0.0258
This is going to hurt so badly in November for the left, and it’s so awesome. 😈;0.232;0.501;0.267;0.2797
She won when DeSantis Dropped out. Trump is not going to be their. Inmates hate pedos. Look what happened to Trump's (Alias John Doe #174) wingman Jefferey Epstein. There is no way this is not going to come up in the debates.;0.121;0.802;0.076;-0.296
Trump. Who knows never gonna make it against Biden.;0.0;1.0;0.0;0.0
Not sure why Nikki is celebrating since she lost. Can't wait for Trump to win the election.;0.172;0.525;0.303;0.6414
By doing God's task and pls God.  Pls protect America thank you in Jesus name;0.0;0.505;0.495;0.7783
I'm glad intelligent Americans understand Nikki is funded by lots of Socialist Dems.   Don't let the Evil Dems insult your intelligence anymore...    Trump 2024 👍;0.089;0.569;0.342;0.8525
True patriot!;0.0;0.244;0.756;0.4753
I mean this guy is like a freight train when he’s on a roll, very impressive I must say.;0.0;0.736;0.264;0.7264
If anything happens to Trump, ANYTHING, it’s over for the elites;0.0;1.0;0.0;0.0
There should be an investigation if Haley maintains 46-47% after all the counting is done.;0.0;1.0;0.0;0.0
Trumpy is scared .....;0.492;0.508;0.0;-0.4404
"Yesterday MSM was saying N.H. will decide the Republican candidate. 
Tonight they say this primary doesn't matter.
I've never seen a back track happen so fast. Shows you they are fos and extremely bias.";0.08;0.92;0.0;-0.1943
No one smack talks like Trump.;0.253;0.46;0.287;0.0772
You got 7% of the Republican vote in Iowa.;0.0;1.0;0.0;0.0
Trump was BORN IN MOSCOW RUSSIA. ILLEGAL FOR HIM TO RUN FOR OFFICE.;0.265;0.735;0.0;-0.6523
She's sold herself to the left.;0.0;1.0;0.0;0.0
Dang bro kissing his butt on live tv...head just pop up out of nowhere 😂😂😂;0.089;0.517;0.394;0.9321
Tell it like it is, DJT!!!  We most DEF won in 2020!!!  Gotta protect our votes!!;0.0;0.559;0.441;0.8819
HEIL TRUMP;0.0;1.0;0.0;0.0
The man Trump will again;0.0;1.0;0.0;0.0
Bring on Brandon now. TRUMP 2024;0.0;1.0;0.0;0.0
NIKKI  SHOULD HAVE DROPPED OUT AND GAVE SLL THE MONEY SPENT TO THE POOR. WOULD NOT THAG BE NICE. SHAME THE MONEY THESE POLITICIANS BLOW WHEN THEY HAVE NO CHANCE TO WIN. SHAMELESS;0.291;0.621;0.087;-0.7828
Trump lost my vote 😊;0.161;0.42;0.42;0.5719
President Trump is a Rolex. This is really good struff!!!!!!!!!!!!!!!!!!!!!! currant events are going to be interesting next year;0.0;0.707;0.293;0.7941
Naïve Nikki;0.0;1.0;0.0;0.0
Allahu akbar;0.0;1.0;0.0;0.0
"WAIT WHO WON? 
IS IT TRUMP OR IS IT NIKKI? 
WHO WON AGAIN OMGGG WHOOO🎉🎉🎉🎉";0.0;0.459;0.541;0.9639
"Trump giving Vivek the microphone for 1 min just to verbally destroy Haley signifies  VP role??🤔
#Trump/Ramaswamy2024";0.166;0.731;0.103;-0.3527
😆 🤣 😂  sad day for Nikki and the military industrial complex that pays her;0.145;0.58;0.275;0.6705
This is proof democrats fudge the numbers every time.;0.0;1.0;0.0;0.0
PRESIDENT DONALD J TRUMP KEEPS WINNING!🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸;0.0;1.0;0.0;0.0
It would behoove the Republican Party for Nikki Haley to be Trump’s VP pick.;0.0;0.828;0.172;0.4019
Trump 2024...The battle against EVIL;0.72;0.28;0.0;-0.8286
God Bless Trump!;0.0;0.161;0.839;0.636
Congradulations DJTrump you are a winner all the way around God Bless Trump 2024;0.0;0.558;0.442;0.8271
LETS GO TRUMP;0.0;1.0;0.0;0.0
Well done. This almost guaranteed a Biden win in November. My fellow independents will send this guy packing. Trust.;0.0;0.635;0.365;0.8481
she can always get a job with her friends at CNN she loves CNN and they love her. but I am sure she will flush a lot of more money down the drain before that happens.;0.0;0.763;0.237;0.8381
Boricuas for TRUMP 2024. FJB.;0.0;1.0;0.0;0.0
4 minutes and 44 seconds of a nothing burger.  What the F is this guy even talking about??;0.0;1.0;0.0;0.0
Trump 2024;0.0;1.0;0.0;0.0
"""What a Nasty orange""";0.545;0.455;0.0;-0.5574
You are out of your mind.....How you win 😂2020.....when Biden is sitting in the office.;0.084;0.749;0.167;0.4404
He's back baby!;0.0;1.0;0.0;0.0
Trump is lying. He did not win New Hampshire in either general election.;0.37;0.63;0.0;-0.7559
Haley, biden, kamala and zelensky should live together. Perfect foursome 😂;0.089;0.561;0.35;0.765
Stolen primary. I think there are fake votes for trump. I have this guy who sells blankets that will prove it.;0.249;0.751;0.0;-0.743
"Great speech! 
TFL Trump for Life! (From former anti Trumper!)
Freedom lives another day!!";0.101;0.483;0.416;0.8469
Hope he Vivek is he’s choice for VP;0.0;0.707;0.293;0.4404
New Hampshire, what are you people doing?;0.0;1.0;0.0;0.0
I hope Trump never forgets all the trash talk from Nikki Haley’s mouth!!!;0.0;0.761;0.239;0.5826
Trump believes Presidents should be exempt from laws. He will make a good dictator! Great night for white nationalism!;0.0;0.64;0.36;0.8395
Trump 2024.;0.0;1.0;0.0;0.0
Notice you never hear Democrats changing USA at any on their events, ever.;0.0;1.0;0.0;0.0
Trump wins again!🇺🇸🕺❤️;0.0;0.6;0.4;0.6114
Hail to the King baby!;0.0;0.715;0.285;0.1511
Thank you God;0.0;0.179;0.821;0.5574
even with Democrats cheating once again voting for Haley, they still lose lmaoooooo;0.364;0.636;0.0;-0.743
IF U VOTED FOR THIS GUY....U HAVE NO CONSCIENCE;0.216;0.784;0.0;-0.296
"Haley has the Dumbocrat ""independents"" voting for her funded by big pharma.";0.0;1.0;0.0;0.0
"New Hampshire Allowing Independents and DEMOCRATS to vote in a ""Republican""  Primary Taints the real numbers and everyone knows it except Nikki Haley who probably thinks she is actually this close behind President Trump....She becomes more and more like a DEMOCRAT each day.....to include her Corporate side deals and her shady corruptness....Ask people in South Carolina about her Two Kings Casino Deal for one  ...They hate her.....";0.052;0.906;0.043;-0.1639
Go Trump🙏🏻🙏🏻;0.0;1.0;0.0;0.0
scott is a sellout bum;0.0;1.0;0.0;0.0
Sounds like Niki's off the VP list.;0.0;0.706;0.294;0.3612
Bravo to the Rednecks ......;0.0;1.0;0.0;0.0
CNBC showing shark tank and  cNN. was  crying. That Donald Trump was  being mean to nikki....;0.171;0.829;0.0;-0.4767
Uncle T alert in the background.;0.0;0.694;0.306;0.296
"LOL ! In a 2 person race, coming 2nd isn't that much of a big deal though, especially when one of them had the backing of corporate donors, liberal media and democrats masquerading as republicans/independents while the other one is facing political persecution and has only done limited rallies.
Besides, why the hell would anyone vote a wannabe Hillary when the original is still alive and kicking ?";0.083;0.792;0.125;0.3237
Who can trump cooperate with if he becomes president again, Not Europe, maybe with dictators from all over the world, it will probably make America great again like putins russia 🤣🤣🤣🤣🇩🇰;0.0;0.735;0.265;0.9451
Never had a second of doubt, Vivek is definitely President Trump’s VP pick! TRUMP/VIVEK2024! ❤️🤍💙🇺🇸, he always lets Vivek talk first which is amazing!!! #45 will be #47 soon get out of the way SLEEPY JOE 😴 lol 😂. Truly amazing he won by double digits going against Dems and Independents too TRUMP IS STRONGER THAN EVER!!!;0.05;0.629;0.32;0.9766
Trump 2024! Save America!!;0.0;0.424;0.576;0.6219
LOLOLOLOL USA!!❤❤❤❤❤;0.0;0.245;0.755;0.9738
Trump 2024🇺🇸🇺🇸🇺🇸;0.0;1.0;0.0;0.0
Squeal Porkchop Donny...sqeal;0.0;1.0;0.0;0.0
USA 🇺🇸 ❤ 🎉;0.0;0.367;0.633;0.7845
Trump 2024! Protect our children and borders🙏;0.0;0.734;0.266;0.4389
"Trump gave everyone a forgiveness speech. For Vivek and DeSantis, they both bowed out and endorsed Trump, who is going to win. There just isn't a contest about this anymore. Not only did Nikki not take the olive branch, she struts around acting like she's won. Trump has decided it's now go time against her.

And the only reason Haley got such good numbers is because of DEMOCRAT SUPPORT.";0.0;0.752;0.248;0.9609
It also shows the immense task ahead of Donald Trump and his team, a lot Democrats voters were hardened by hate, irrational hate, November is not a slam dunk, Trump has to fight to the last breath, no other way, fight disinformation, election interference, fight lies;0.366;0.599;0.035;-0.9608
Usa USA USA.usa.usa🇺🇲🇺🇲🇺🇲🇺🇲🇺🇲🇺🇲🇺🇲🇺🇲🇺🇲🇺🇲 Donald trump for president of 2024 go Donald trump make America great again 🇺🇲🇺🇲🇺🇲🇺🇲🇺🇲🇺🇲🇺🇲🇺🇲;0.0;0.796;0.204;0.6249
Not even the anti Trumpers and democraps could not push #nevernikki over rhe top;0.0;0.761;0.239;0.4141
"Whoever voted for Nikki just know you are the problem in the world today
(repost)";0.162;0.838;0.0;-0.4019
Trump winning NH was an absolute shock to everyone except those with a lick of sense.;0.113;0.567;0.32;0.694
Trump 2024 to save Our Freedom and Country! God Will help us all !;0.0;0.439;0.561;0.915
"Trump 2024 💪🏻💪🏻💪🏻🇺🇸🇺🇸🇺🇸🇺🇸
We love USA God bless America 🇺🇸🇺🇸";0.0;0.698;0.302;0.8442
Go Nikki!! Got the old man riled up! At least he remembered who she was this time.;0.0;1.0;0.0;0.0
What do you think about this new?;0.0;1.0;0.0;0.0
Marvellous!;0.0;1.0;0.0;0.0
Trump;0.0;1.0;0.0;0.0
Trump 2024!!!;0.0;1.0;0.0;0.0
Now that the Don has attracted the independent voter, the general election should be a🔒 for Trump to win. We will win with grace and restore the power back to the people where it belongs.;0.0;0.668;0.332;0.9371
Trump beats another woman.;0.0;1.0;0.0;0.0
Thank You, LORD for living Biden too!;0.0;0.682;0.318;0.4199
Trump;0.0;1.0;0.0;0.0
"Trump won in Iowa now is big wins at New Hampshire with 2 digits please vote for Trump let’s he fixed our country, The only Trump can fix this country after 8 years Obama and 4 years Joe Biden ruined our country and made this country inflation and unemployment rate very high 
Please vote for Donald J Trump 2024";0.084;0.744;0.172;0.7414
Nikki is such a narcissist;0.0;1.0;0.0;0.0
Oh look He got a few more votes to win I'm sure they were paid for or he  bribed or blackmailed for a vote GMAB;0.0;0.783;0.217;0.7479
Hailey Fake it till you make it;0.341;0.659;0.0;-0.4767
"Indian Haley , her actual name
Is nemrata anji pajet.";0.0;1.0;0.0;0.0
Excellent;0.0;0.0;1.0;0.5719
Central Park 5. scott standing back there grinning ???????????????????;0.0;0.698;0.302;0.5362
Can you imagine having a President that took NO salary, put ALL American Citizens First, ran the country like a business instead of a party while increasing EVERYBODY'S spendable income and lifestyle, making us energy independent at a cheap price. Also increasingly making the country more safe with a stronger military, bringing back Manufacturing, and increasing the border security on a daily basis. Using his own plane, not taxpayers, which he acquired running his own successful businesses not government grants while providing thousands of American jobs. Playing golf at his own resorts at his own expense with his own money, not taxpayers. And during his FIRST hole at playing golf accomplishes more Making America Great Again then the Democrats have done in the past 100 years. Now go enjoy your trip to the gas station and grocery store this week while you're paying your utilities. WHILE you're out there be sure and talk to other American Citizens about how great things are now with Biden and the Democrats.;0.023;0.775;0.202;0.9861
"Forbes for Donald J TRUMP 2024 🇺🇸‼️‼️ 
-Latins for TRUMP 🇮🇱🇺🇸‼️‼️‼️‼️";0.0;1.0;0.0;0.0
I'm from Russia. I'm not a fan of Putin at all. I would prefer Mr. Trump. A true patriot and fighter. I envy the Americans. Don't miss your chance. Democrats-leftists-turboliberals are crazy. I want our countries to be on good terms. Together we solved the global really important issues of the planet.;0.129;0.646;0.224;0.6168
Shes a liberal Democrat.  I hope she runs as an independent.  Her policies are socialist.  She wants to raise the age to draw social security on those who paid into the system their whole lives while giving out handouts to the lazy members in our society;0.048;0.805;0.148;0.6369
Hey Nikki,  if your not first your last.;0.0;1.0;0.0;0.0
TRUMP 2024🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸;0.0;1.0;0.0;0.0
in spite of the mainstream medias best efforts, it appears the voters can see through their $hit.;0.15;0.664;0.186;0.2023
Jesus, Trump, America in that order please!;0.0;0.698;0.302;0.3802
I love how Trump wins New Hampshire AND slams the rino governor at the same time. Legend!;0.0;0.647;0.353;0.8478
"_🎶'NIMR0DA  you ain't get'n Nada_
_coz we don't want no Pigeons'_
We want a Legend to get unrobbed of his rightful second term later this year✴️🇺🇸✌🏾";0.032;0.803;0.165;0.6329
Is it possible to convert new york?;0.0;1.0;0.0;0.0
I'm still waiting for America to have a native American Indian as president of the United States of America. Now that's worth living to see happen!;0.0;0.828;0.172;0.6114
What a big orange baby!. Would you be proud of your son if he behaved this way after winning a match? Do better GOP!;0.0;0.678;0.322;0.8745
Doesn't get much easier for Nikki Vegas south Carolina and florida;0.189;0.811;0.0;-0.3252
She’s woke. She would keep the boarders open 100% for 4 years straight.;0.0;0.863;0.137;0.2263
Trump 2024 !!!! Sorry haters 🤫;0.531;0.469;0.0;-0.6876
Trump is the last best hope for mankind, without him as potus, we face 1000 year of darkness.;0.083;0.622;0.295;0.7269
Sad that he has so many people  fooled..we're in for chaos..from a very evil man;0.375;0.625;0.0;-0.8313
Guess Nikki will need to get beat in more primaries before she wakes up to reality. Trump has this nomination in the bag.;0.0;1.0;0.0;0.0
Haley is a Biden puppet;0.0;1.0;0.0;0.0
Republicans knows who’s RINO😂😂😂;0.189;0.432;0.379;0.8271
Where's slomojoe?🖕fjb;0.0;1.0;0.0;0.0
When GOD is with you nobody can stay in your way TRUMP is an example of it;0.0;0.85;0.15;0.4278
Trump!!! USA;0.0;1.0;0.0;0.0
50% says they both lost on the day that matters. Bobby is collecting votes from both sides and more;0.113;0.833;0.054;-0.296
Trump - Vivek 2024;0.0;1.0;0.0;0.0
"Only Forbes informs. ""Look! Up in the sky! It's a bird! It's a plane! No, it's SuperTrump! Faster than a CNN hoax. More powerful than the deep state. Able to leap over never-Trumpers in a single bound. The Adventures of SuperTrump."" Coming to a voter booth near you.";0.039;0.837;0.124;0.6768
Lets go;0.0;1.0;0.0;0.0
Definitely was rigged.;0.403;0.161;0.435;0.0516
#Trump2024;0.0;1.0;0.0;0.0
"And the Trump train is still in motion. 
Go get em, Trump. Give them hell the same way they gave us hell. No mercy.

Trump 2024.";0.33;0.67;0.0;-0.9064
God is in control ❤;0.0;0.388;0.612;0.743
You have a pretty by governor when anybody can come in off the street and vote in a GOP election;0.0;0.856;0.144;0.4939
Without democrats, Hailey would be 30 points behind Trump!😂😂😂;0.161;0.509;0.33;0.8398
Trump Train is a fast locomotives;0.0;1.0;0.0;0.0
Our Vote is Reserved For You!🎉🎉🎉;0.0;0.517;0.483;0.8122
God bless you president thrump;0.0;0.38;0.62;0.5994
I switched devices and tbis video mysteriously wasn't in my history.   Glitch?  I doubt it.    Biased Google employees.  .;0.213;0.787;0.0;-0.5574
President Trump is not a politician...he is America's best hope.;0.0;0.53;0.47;0.7964
Great News----Trump.;0.0;0.196;0.804;0.6249
😂  Nikky knew how to get under DJT's skin...lol;0.114;0.659;0.228;0.4404
Trump2016 Trump2020 Trump2024;0.0;1.0;0.0;0.0
Nikki the Tooth talked about Trumps mental capacity while she skips Nevada 🤣 she’s a hot mess TRUMP2024 🇺🇸;0.094;0.787;0.12;0.1779
"Congrats my American friends.
Much support from Canada.
Trump 2024 🇺🇸👍";0.0;0.521;0.479;0.8481
TRUMP 2024🎉🎉;0.0;0.426;0.574;0.6597
We want orange man is back !! God bless to usa;0.0;0.541;0.459;0.6988
Here it comes, another fake election if he loses the big show again, in fact all the lost MAGA will claim that.;0.288;0.712;0.0;-0.7717
Trump would never complain about this. Haley is there to make Trump shine even brighter.;0.0;0.734;0.266;0.5733
No rants of this election being stolen??? Oh, Trump won.;0.195;0.427;0.378;0.4592
"GLORY TO ALMIGHTY GOD ❤
YOU CONTROL EVERYTHING, NO ONE COULD STOP GOD'S WILL 💝💝💝";0.128;0.35;0.522;0.9638
God, please protect our President Trump. The demons on the left are willing to do anything to stop him. 🙏🏻✝️❤️🇺🇸;0.066;0.723;0.211;0.5859
I was watching the other video showing the whole speech and it suddenly became unavailable.;0.0;1.0;0.0;0.0
Even with help from the dems it just goes to question was the last election kosher.......;0.0;0.847;0.153;0.4019
Trump 2024;0.0;1.0;0.0;0.0
Governor of New Hampshire ?? Who is that guy?;0.0;1.0;0.0;0.0
"Nikki uses ""girl math"". Will her donors believe it?";0.0;1.0;0.0;0.0
Get on the Trump train American patriots 🇺🇸🇺🇸;0.0;1.0;0.0;0.0
Winability?  It's all Trump!;0.0;1.0;0.0;0.0
This is the Guy... Fast brain Firm Decisive Humorous... Great Job;0.0;0.482;0.518;0.8225
President Trump / V.P Kristi Noem 2024 👍;0.0;1.0;0.0;0.0
Nikki Haley is TERRIBLE.;0.561;0.439;0.0;-0.5904
"GOD HAVE MERCY OF UNITED STATES OF AMERICA. 

GÉNESIS CHAPTER 19🔺️ ⏳👈";0.0;0.664;0.336;0.8624
Hey!  It's that guy who lost.  I wondered what he'd been up to.;0.178;0.822;0.0;-0.3802
Congratulations President Trump 👏👏👏;0.0;0.672;0.328;0.5994
Nothing like winning gracefully... ;0.885;0.115;0.0;-0.7692
No more wars please.  No handouts to Israel.  America first.;0.283;0.365;0.352;0.2805
Whoever voted for Nikki just know you are the problem in the world today;0.172;0.828;0.0;-0.4019
She only got 2nd place because there were only 2 people running. 🤣🤣;0.0;0.758;0.242;0.7506
Too old;0.0;1.0;0.0;0.0
Thank you Lord for loving Trump,!supporting him, protecting him lift him up.  🎉🎉🎉🎉🎉❤❤❤;0.0;0.354;0.646;0.9859
You wanna hate, then hate. It doesn't matter cus the Trump Train is full speed ahead. Get ready to cry little  babies. Let the salt flow!;0.336;0.594;0.071;-0.8543
Did Nikki lose because she's brown?;0.351;0.649;0.0;-0.4019
Trump is the greatest president ever in my lifetime . Trump 2024;0.0;0.724;0.276;0.6369
Nikki needs faster ballot stuffers...;0.0;1.0;0.0;0.0
TRUMP 2024..!!!!;0.0;1.0;0.0;0.0
Niki is like the girl you break up with but still tells her friends everything is great 😂;0.065;0.471;0.464;0.9468
Democrats voted for her. She didn’t “perform” at all. It was rigged.;0.185;0.815;0.0;-0.3612
The democrats are funding Niki Haley aswell.  This has been exposed.;0.115;0.885;0.0;-0.0772
TRUMP ❤;0.0;0.323;0.677;0.6369
She got a lot of democratic votes. Isn’t that election interference?;0.0;1.0;0.0;0.0
😂 what's Haley's competition besides Trump? She's not 2nd, she lost New Hampshire and she'll probably lose South Carolina as well 😆;0.124;0.595;0.28;0.6968
It really wasn't the landslide that Trump wanted. It was a lot closer than predicted. The ever gloating Trump and his delusions of grandeur. Trump needed to stuff as many ballot boxes as he could to even make it this far.;0.0;0.922;0.078;0.5267
🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉;0.0;0.27;0.73;0.9921
Those who were registered as republican voted for Trump by 74%. If it wasn't for liberals this would've been a blow out.;0.0;1.0;0.0;0.0
Trump will lose the general election again!;0.333;0.667;0.0;-0.4574
USA USA USA USA USA USA USA USA USA USA USA USA;0.0;1.0;0.0;0.0
Trump 2024 -  Make my year great again like 2016!;0.0;0.537;0.463;0.784
Congratulations Trump!!!!!🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸❤️;0.0;0.372;0.628;0.7243
I’m surprised the cult leader isn’t saying it’s rigged since he oily got 52% of the 85k republicans that voted.;0.112;0.804;0.085;-0.1531
We love you Mr. Trump! 🇺🇸;0.0;0.527;0.473;0.6696
Hathor follow;0.0;1.0;0.0;0.0
Actually, it’s one thing , if people want you as President, it’s another if they vote for you because they don’t want your opponent. That means you’re not valued for who you are and the value if any you could contribute to the American people 🤔;0.048;0.853;0.099;0.1516
70% of her voters in NH were NOT registered Republicans.;0.0;0.696;0.304;0.6037
God bless Donald Trump!;0.0;0.278;0.722;0.636
Trump is on fire 🔥 💯;0.49;0.51;0.0;-0.5859
The first loss against Biden stoked the theories of rigging. If Trump loses again with this kind of momentum, it'll all but confirm it.;0.13;0.87;0.0;-0.3182
She best stay away from South Carolina we don't want her here! Trump 2024 ❤️🇺🇸;0.062;0.71;0.228;0.6451
Thank you #47.;0.0;0.444;0.556;0.3612
Nikki Haley is just a birdhead;0.0;1.0;0.0;0.0
Nikki Haley is the best candidate for president 👍🌹.;0.0;0.704;0.296;0.6369
Everybody interviewed from her campaign says they're voting for Biden the presidential election they're only voting for Nikki Haley to get rid of trump Nikki Haley's poll numbers are more than likely fake;0.095;0.905;0.0;-0.5209
